y,st_code_snd,st_code_rsv,date_depart_year,date_depart_month,date_depart_week,date_depart_day,date_depart_hour,fr_id,route_type,is_load,rod,common_ch,vidsobst,distance,snd_org_id,rsv_org_id,snd_roadid,rsv_roadid,snd_dp_id,rsv_dp_id
172.67648724432107,wagonwagonwagontutu:)wagon,wagondigitalnewyearrailway:)happy,2021,11,45,12,14,3399,4,1,2,11,102,930.0,1098,5476,13,13,78,75
7.039626080907752,railwaypgkhappyrailway:)railway,digitalhappynewyeardigital:)wagon,2021,4,15,17,16,2261,3,0,8,9,111,16.0,2974,6682,21,21,111,111
86.52605604505038,railwaytutupgkpgk:)digital,pgkdigitalrailway:):)happy,2021,5,17,2,7,1089,3,1,8,9,111,879.0,2082,10729,9,9,67,23
219.43243748032796,tuturailwaydigital2022:)digital,newyearnewyear20222022:)2022,2020,11,47,17,11,2261,4,0,8,975,103,8569.0,2974,10571,28,28,115,112
68.90672013556659,railwaytutupgkpgk:)digital,pgkhappyrailwayhack:)railway,2020,12,52,25,5,1666,4,1,8,9,101,656.0,2082,9225,9,9,67,16
52.47391196308589,hacknewyearrailway:)pgk,hackwagonhappy:)newyear,2021,5,21,28,11,2261,1,0,8,9,102,1021.0,6276,1316,23,23,10,67
193.40639774059173,happynewyearpgk:)railway,hackwagon:):)tutu,2022,1,2,14,11,2261,1,0,8,12,111,4480.0,2974,2324,6,6,59,111
10.43626900121285,tutuwagon2022hack:)pgk,newyearwagondigitalnewyear:)tutu,2021,11,44,5,22,2261,1,0,8,9,102,209.0,2974,1319,9,9,67,67
137.01007706080736,railwaytutupgkhappy:)newyear,digitalhappynewyeardigital:)wagon,2020,5,20,13,0,2261,4,0,2,11,101,1680.0,2974,2142,27,27,126,125
165.70598790170112,newyearrailwaypgknewyear:)hack,2022wagondigital:)digital,2020,10,43,19,11,714,3,1,8,975,103,3832.0,2942,14325,21,21,121,1
150.79882476395943,happy:)pgkrailway:)2022,wagonhackhacktutu:)happy,2021,6,24,16,10,1653,4,1,8,9,102,1676.0,1290,10890,32,32,29,70
5.639197619231965,digitalhappynewyeardigital:)wagon,railwaytutupgkhappy:)newyear,2022,3,12,24,23,618,1,1,8,12,111,276.0,1316,2082,9,9,67,67
199.11521305509365,railwaytutuwagonhappy:)tutu,20222022tutupgk:)hack,2021,3,12,28,7,100009,3,1,8,9,101,2827.0,11002,7548,9,9,66,104
20.3525118660355,tutudigital2022:):)railway,newyearnewyeartutu:):)2022,2020,9,36,2,14,2261,3,0,8,9,103,51.0,2974,2324,21,21,111,111
50.95631167924874,pgkwagonrailwayrailway:)railway,pgkwagonhackpgk:)happy,2022,2,8,23,12,2261,4,0,8,9,102,76.0,2974,10910,30,30,22,22
